Status,Taker,Name,Notes,Agency,DocType,Id
審查中,陳彥男,禾和二區興建計畫案環境影響差異分析報告暨變更審查結論,本書件為修訂本,環保署,差異分析報告,1030283A
審查中,邱景昆,第二高速公路後續計畫新營屏東段(配合高屏地區及經濟部吉洋人工湖砂石運輸道路工程)環境影響差異分析報告書第二次變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030274A
審查中,楊智凱,花蓮理想渡假村開發計畫環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030263A
審查中,邱景昆,國道二號拓寬工程環境影響說明書第二次變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030254A
審查中,楊智凱,台9線蘇花公路山區路段改善計畫（蘇澳～東澳、南澳～和平、和中～大清水）第三次環境影響差異分析報告,本書件為修訂本,環保署,差異分析報告,1030243A
審查中,邱景昆,農業生物科技園區開發計畫環境影響說明書第二次土地使用項目變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030234A
審查中,商維庭,國立成功大學校本部理學教學大樓等二件新建工程,本書件為確認本,環保署,說明書,1030221A
審查中,楊智凱,北宜高速公路工程環境影響評估報告第10次環境影響差異分析報告（坪林行控中心增建機房及電梯）,本書件為初稿本,環保署,差異分析報告,1030213A
審查中,楊智凱,台九線輸油管線汰換工程環境影響說明書,本書件為初稿本,環保署,說明書,1030191A
審查中,邱景昆,南星土地開發計畫-自由貿易港區第一期環境影響說明書第一次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030184A
審核修正…,周復仁,高雄市第65期市地重劃區(土地使用分區變更)開發計畫環境影響說明書變更內容對照表,,高雄市,變更內容對照表,1030184X
審查中,邱景昆,彰濱天然氣發電廠興建計畫環境影響說明書第六次變更計畫(配置調整)變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030174A
審查中,周復仁,高雄市苓雅區五塊厝段2032~2036等5筆地號店鋪、集合住宅大樓新建工程環境影響說明書,,高雄市,說明書,1030171X
審查中,張舜華,嘉寶渡假村開發計畫環境影響說明書變更內容對照表(第三次變更),,高雄市,變更內容對照表,1030164X
審查中,商維庭,高雄新市鎮整體開發環境影響評估報告書第3次環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1030163A
審查中,周韋儒,桃園市同德段26、27、28、30、31及32地號開發計畫環境影響說明書,,桃園縣,說明書,1030161D
審查中,姜樹成,台中眾鈴汽車有限公司外埔廠區設廠計畫,初稿本,臺中市,說明書,1030161T
審查中,張同婉,中部科學工業園區台中園區第二期發展區擴建計畫（含第一期發展區變更）─臺中市精密機械科技創新園區放流水排入台中園區放流專管排放方案之環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030153A
重辦環評,周韋儒,順倉股份有限公司甲級廢棄物處理機構第二次環境影響差異分析報告(配置變更與處理量調整),,桃園縣,差異分析報告,1030153D
審查中,姜樹成,漢翔航空工業股份有限公司沙鹿北二廠區開發案環境影響說明書,,臺中市,說明書,1030151T
有條件通…,蔡秀美,高雄市鼓山區青海段214地號店鋪、辦公室、集合住宅大樓新建工程環境影響說明書,,高雄市,說明書,1030151X
審查中,邱景昆,第二高速公路後續計畫環境影響評估報告(新竹-南投段)環境影響差異分析報告變更審查結論暨第四次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030144A
審查中,高千惠,台中市東山路線道129線(D標末至中興嶺段)拓寬工程變更內容對照表,初稿本,臺中市,變更內容對照表,1030144T
審核修正…,張舜華,臺灣六龜渡假村(原六龜溫泉)環境影響說明書變更內容對照表,,高雄市,變更內容對照表,1030144X
審查中,周韋儒,高速鐵路桃園車站特定區產業專用區開發經營案環境影響說明書,,桃園縣,說明書,1030141D
審查中,邱景昆,中山高速公路新竹-員林段拓寬工程(增設銅鑼交流道)環境影響差異分析報告第一次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030134A
審核修正…,周韋儒,亞東石化股份有限公司觀音二廠開發計畫環境影響說明書第二次變更內容對照表(定稿本),1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期表示。,桃園縣,變更內容對照表,1030134D
審查中,姜樹成,臺中市烏日垃圾資源回收廠環境影響說明書第三次變更內容對照表,初稿本,臺中市,變更內容對照表,1030134T
審查中,周復仁,高雄市苓雅區五塊厝段2032~2036等5筆地號店鋪、集合住宅大樓新建工程環境影響說明書,,高雄市,說明書,1030131X
審查中,邱景昆,水美工程企業股份有限公司觀音資源回收廠變更計畫環境影響說明書變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030124A
審核修正…,周韋儒,桃園縣桃園市同德段58及59地號開發計畫第二次環境影響差異分析報告,,桃園縣,差異分析報告,1030123D
審查中,蔡秀美,高雄市鼓山區龍中段120 地號興建工程環境影響差異分析報告,,高雄市,差異分析報告,1030123X
審查中,高千惠,臺中市南屯區豐功段257地號新建工程環境影響說明書,初稿本,臺中市,說明書,1030121T
審核修正…,高千惠,臺中市南屯區大進段858地號辦公室及集合住宅新建工程環境影響說明書變更內容對照表,定稿本,臺中市,變更內容對照表,1030114T
,楊智凱,範疇界定:中部科學工業園區第三期發展區（后里基地─七星農場部分）開發計畫環境影響評估報告書,範疇界定會議資料請至本署環評開發論壇下載：http://atftp.epa.gov.tw/EIAforum/Default.aspx?page=NewsList,環保署,評估報告書,1030112A
通過審查…,周韋儒,東和鋼鐵桃園廠擴增產能計畫環境影響說明書(定稿本),1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期表示。,桃園縣,說明書,1030111D
審查中,張舜華,財團法人高雄法邁內觀中心開發計畫環境影響說明書,,高雄市,說明書,1030111X
審核修正…,高千惠,臺中市南屯區田心段1032地號辦公室及集合住宅新建工程環境影響說明書變更內容對照表,定稿本,臺中市,變更內容對照表,1030104T
審查中,張舜華,長青山莊開發計畫環境影響說明書變更內容對照表,,高雄市,變更內容對照表,1030104X
,陳彥男,範疇界定:淡海新市鎮後期發展區開發案環境影響評估報告書,範疇界定會議資料請至本署環評開發論壇下載：http://atftp.epa.gov.tw/EIAforum/Default.aspx?page=NewsList,環保署,評估報告書,1030102A
審核修正…,周韋儒,昱筌實業股份有限公司乙級廢棄物處理廠環境影響說明書變更內容對照表定稿本,,桃園縣,變更內容對照表,1030094D
審查中,張同婉,高雄都會區鐵路地下化綜合規劃第四次環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1030093A
審查中,陳心怡,竹北市世興段46、47地號2筆綜合大樓新建工程變更內容對照表,未定稿,新竹縣,說明書,1030091E
審查中,高千惠,臺中市南屯區田心段1061-2等14筆地號店鋪、辦公室及集合住宅新建工程環境影響說明書,初稿本,臺中市,說明書,1030091T
審查中,王美樺,高雄市永安區誠毅紙器工業區開發案環境影響說明書變更內容對照表,,高雄市,變更內容對照表,1030084X
審查中,張同婉,國光電廠興建計畫環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030083A
審核修正…,陳心怡,天陵墓園(原信望愛墓園)開發環境影響差異分析報告,,新竹縣,差異分析報告,1030083E
通過審查…,周韋儒,昇宏桶行有限公司申請甲級廢棄物處理事業機構環境影響說明書(定稿本),1.本案係103年補傳之資料，繳費日期以登記在案之第一次提案審查日期表示。,桃園縣,說明書,1030081D
審查中,姜樹成,臺中市潭子聚興產業園區環境影響說明書,,臺中市,說明書,1030081T
審核修正…,陳心怡,新竹縣竹北市台元段716地號土地廠辦大樓興建工程案環境影響說明書變更內容對照表,未定稿,新竹縣,變更內容對照表,1030074E
審查中,劉馥萱,臺灣地區西部走廊東西向快速公路建設計畫觀音-大溪線第2次環境影響差異分析報告(台66線與桃81、桃79及台31等平交路口改善工程),本書件為初稿本,環保署,差異分析報告,1030073A
審查中,林亞蓁,冠軍建材股份有限公司工廠產能及面積擴增環境影響差異分析報告,,苗栗縣,差異分析報告,1030073F
審查中,周韋儒,鴻曜塑膠工業甲級廢棄物處理廠環境影響說明書,,桃園縣,說明書,1030071D
審查中,姜樹成,臺中市太平產業園區環境影響說明書,,臺中市,說明書,1030071T
審查中,蔡秀美,高雄市鼓山區青海段179~182 地號店鋪、集合住宅大樓新建工程環境影響說明書,,高雄市,說明書,1030071X
審查中,姜樹成,霧峰「電影文化城第貳期」社區環境影響評估報告書,,臺中市,環境現況差異分…,1030065T
